nest_ID,male_id,male_age,female_id,female_age,Site,NGR,Ref,find.date,fledge.date,year,obs.period,expo,outcome,outcome.1,clutch,chicks,fledged,brood,comments,Nest.found,x,y,altitude,Notes,Predated,distance_to_nearest_track,track50,track100,track150,track200,density_of_tracks,Ycons,tandc,exp,nest_age_atLoc,julian.day.find,julian.day.nest.initiation,julian.day.1,age.day.1,jdayinit,month,week
28,,,LE43224,,Clocaenog,SJ0094554355,Carnedd Ci ,05/07/2015,,2015,,39,f,0,2,0,0,2,2nd brood,yes,300945,354355,451.2,,,135,0,0,1,1,,0,0,39,2,186,184,151,-33,184,7,26
29,LE43215,,LH76722,,Clocaenog,SJ0140153306,Main valley,08/07/2015,,2015,,11,s,1,2,2,2,1,1st brood,yes,301401,353306,403.7,,0,23,1,1,1,1,,0,0,11,32,189,157,151,-6,157,6,22
30,,,LH76722 ,,Clocaenog,SJ0107952919,Low valley,14/07/2015,,2015,,0,f,0,1,0,0,2,2nd brood,yes,301079,352919,412.4,,,199,0,0,0,1,,0,0,NA,2,195,193,151,-42,193,7,28
31,LE43215,,LH76722 ,,Clocaenog,SJ0136553232,Low valley,22/07/2015,,2015,,1,f,0,2,2,0,2,2nd brood,yes,301365,353232,403.8,,,59,0,1,1,1,,0,0,1,1,203,202,151,-51,202,7,29
32,LE43220,,LE43219,,Clocaenog,SJ0201853920,Llyfarduu,19/06/2015,,2015,,0,s,1,2,2,2,1,1st brood,yes,302018,353920,415,,0,51,0,1,1,1,,0,0,NA,3,170,167,151,-16,167,6,24
33,,,LE43219,,Clocaenog,SJ0210053966,Llyfarduu,25/07/2015,,2015,,8,s,1,2,2,2,2,2nd brood,yes,302100,353966,411.1,,0,21,1,1,1,1,,0,0,8,1,206,205,151,-54,205,7,29
34,LH76607,,,,Clocaenog,SH9834455095,Cefn hafod lom,24/07/2015,,2015,,17,s,1,2,2,2,1,1st brood,yes,298344,355095,427.4,,0,54,0,1,1,1,,0,0,17,35,205,170,151,-19,170,6,24
35,,,,,Clocaenog,SH9839255164,Cefn hafod lom south,27/07/2015,,2015,,10,f,0,2,0,0,2,2nd brood,yes,298392,355164,432.2,,,67,0,1,1,1,,0,0,10,35,208,173,151,-22,173,6,25
36,,,LH76717 ,,Clocaenog,SH9864755483,Cefn Hafod Lom North,30/06/2015,,2015,,0,s,1,2,2,2,1,1st brood,yes,298647,355483,424.4,,0,90,0,1,1,1,,0,0,NA,8,181,173,151,-22,173,6,25
37,,,LE43233 ,,Clocaenog,SJ0033753649,Hafotty Newydd ,13/08/2015,,2015,,20,f,0,2,2,0,2,2nd brood,yes,300337,353649,413.8,,,21,1,1,1,1,,0,0,20,19,225,206,151,-55,206,7,29
38,,,,,Clocaenog,SJ0019153633,Hafotty Newydd ,27/07/2015,,2015,,24,s,1,1,1,1,1,1st brood,yes,300191,353633,396.7,,,91,0,1,1,1,,0,0,24,36,208,172,151,-21,172,6,25
39,LE43216,,,,Clocaenog,SJ0180957837,Gors-y-wern,13/08/2015,,2015,,35,s,1,2,2,2,1,1st brood,yes,301809,357837,422.6,,0,34,1,1,1,1,,0,0,35,36,225,189,151,-38,189,7,27
40,,,,,Clocaenog,SJ028526,Central clearing,28/08/2015,,2015,,1,s,1,1,1,1,NA,?,yes,302800,352600,407.1,,0,33,1,1,1,1,,0,0,1,36,240,204,151,-53,204,7,29
41,LH76714,,LE43223,,PyC,SS8273198854,T6,25/06/2015,,2015,,0,f,0,2,2,0,1,,yes,282731,198854,290.6,,1,73,0,1,1,1,,0,0,NA,13,176,163,151,-12,163,6,23
42,LE43217,,LE43225,,PyC,SS8347697506,T2,20/06/2015,,2015,,18,s,1,2,1,1,1,,yes,283476,197506,374,,0,36,1,1,1,1,,1,1,18,3,171,168,151,-17,168,6,24
43,LH76739,,,,PyC,SN9444200853,T81,02/08/2015,,2015,,8,s,1,2,2,2,2,,yes,294442,200853,490,,0,86,0,1,1,1,,1,1,8,30,214,184,151,-33,184,7,26
44,,,LH76580,,Brechfa,,1.1,22/06/2015,,2015,35,0,s,1,2,2,2,1,"2 eggs, WA, FN",yes,249895,232709,303,,0,124,0,0,1,1,,0,0,NA,1,173,172,151,-21,172,6,25
45,LH76576,5,,,Brechfa,,10.1,24/06/2015,,2015,17,18,s,1,1,1,1,1,"1 chick, DO, c 1 day old",,247833,232079,320.1,,0,120,0,0,1,1,,0,0,18,20,175,155,151,-4,155,6,22
46,,,,,Brechfa,,11.1,02/07/2015,,2015,10,0,f,0,2,0,0,1,"1 egg, FN",,249195,232891,326.1,,1,80,0,1,1,1,,0,0,NA,1,183,182,151,-31,182,7,26
47,,,LJ60505,4,Brechfa,,2.1,10/07/2015,,2015,11,5,s,1,2,2,2,1,2 chicks IP,,250087,232634,310.8,,0,60,0,1,1,1,,0,0,5,20,191,171,151,-20,171,6,24
48,,,,,Brechfa,,3.1,03/07/2015,,2015,24,26,s,1,2,2,2,1,"2 chicks DO, MN",,249414,233585,316.5,,0,61,0,1,1,1,,0,0,26,12,184,172,151,-21,172,6,25
49,,,,,Brechfa,,6.1,14/07/2015,,2015,1,5,s,1,2,2,2,1,2 chicks RF,,248144,233755,342.8,,0,146,0,0,1,1,,0,0,5,35,195,160,151,-9,160,6,23
50,,,,,Brechfa,,15.1,17/07/2015,,2015,5,37,s,1,1,1,1,1,"1 chick FM, 1 unhatched egg",,248055,231010,301.7,,0,78,0,1,1,1,,0,0,37,30,198,168,151,-17,168,6,24
